id,name,address,grade,score,latitude,longitude
0,MARKET AT MUNGER,"554 SALVATIERRA WALK AV ,STANFORD, CA 94305",Pass,93,37.423023,-122.167509
1,ST-LAW SCHOOL CAFE,"559 NATHAN ABBOTT WY 171,STANFORD, CA 94305",Pass,95,37.423827,-122.167364
2,ST-STERN HALL DINING HALL,"618 W ESCONDIDO RD,STANFORD, CA 94305",Pass,95,37.424442,-122.165674
3,ST-576 ALVARADO ROW,"576 ALVARADO ROW ,STANFORD, CA 94305",Pass,95,37.42218,-122.1659
4,ST-STANFORD CATERING @ MUNGER,"555 SALVATIERRA WALK ,STANFORD, CA 94305",Pass,87,37.42313,-122.167264
5,STANFORD UNIVERSITY BOOKSTORE,"519 LASUEN ST ,STANFORD, CA 94305",Pass,95,37.424825,-122.168699
6,ST-KAPPA ALPHA THETA,"585 COWELL LN ,STANFORD, CA 94305",Pass,95,37.420887,-122.162771
7,ST-SIGMA NU HOUSE,"557 MAYFIELD AV ,STANFORD, CA 94305",Pass,97,37.422286,-122.168391
8,ST-HAMMARSKJOLD HOUSE,"592 ALVARADO ROW ,STANFORD, CA 94305",Pass,92,37.421495,-122.16524
9,ST-TERRA HOUSE,"539 COWELL LN,STANFORD, CA 94305",Pass,91,37.421491,-122.163207
10,STANFORD MARS HOUSE,"553 MAYFIELD AV ,STANFORD, CA 94305",Pass,85,37.422618,-122.168646
11,ST-COLUMBAE HOUSE,"549 LASUEN ,STANFORD, CA 94305",Pass,87,37.37324,-122.111455
12,ST-MUWEKMA-TAH-RUK HOUSE,"543 LASUEN ST ,STANFORD, CA 94305",Pass,98,37.373185,-122.111667
13,ST-DINING @ BRANNER HALL CAFE,"655 ESCONDIDO RD ,STANFORD, CA 94305",Pass,92,37.425511,-122.162854
14,ST-SIGMA CHI FRATERNITY ALPHA ONE,"550 LASUEN ST ,STANFORD, CA 94305",Pass,97,37.373127,-122.112299
15,ST-OLD UNION DINER - THE AXE & PALM,"520 LASUEN MALL,STANFORD, CA 94305",Pass,87,37.425256,-122.170436
16,BING CONCERT HALL LOBBY BAR + STAGING ROOM,"327 LASUEN DR ,STANFORD, CA 94305",Pass,93,37.42509,-122.1675
17,ST-XANADU HOUSE,"558 MAYFIELD ,STANFORD, CA 94309",Pass,100,37.189396,-121.705327
18,ST-WILBUR HALL,"658 ESCONDIDO RD,STANFORD, CA 94306",Pass,88,37.423955,-122.163145
19,CASPER FAMILY DINING COMMONS,"662 ESCONDIDO RD ,STANFORD, CA 94305",Pass,93,37.424586,-122.162864
20,COUPA CAFE-GREEN LIBRARY,"571 ESCONDIDO MALL ,STANFORD, CA 94305",Pass,92,37.426107,-122.166963
21,ST-STOREY HOUSE,"544 LASUEN ST ,STANFORD, CA 94305",Pass,92,37.373266,-122.112181
22,ST-LA CASA ITALIANA,"562 MAYFIELD AV,STANFORD, CA 94305",Pass,91,37.421806,-122.168975
23,ST-TRESIDDER MARKETPLACE,"459 LAGUNITA DR ,STANFORD, CA 94305",Pass,100,37.423438,-122.168317
24,ST- PI  BETA PHI,"517 COWELL LN ,STANFORD, CA 94305",Pass,96,37.421849,-122.162675
25,ST-THE COHO,"459 LAGUNITA AV 1,STANFORD, CA 94305",Pass,87,37.423438,-122.168317
26,DECADENCE,"459 LAGUNITA DR ,STANFORD, CA 94305",Pass,100,37.423438,-122.168317
27,KIKKA @ STANFORD UNIVERSITY,"459 LAGUNITA DR,STANFORD, CA 94305",Pass,88,37.423438,-122.168317
28,TRAITEL BUILDING - HOOVER INSTITUTE,"435 LASUEN MALL,STANFORD, CA 94305",Pass,95,37.427495,-122.167633
29,SUBWAY #67576,"459 LAGUNITA DR,STANFORD, CA 94305",Pass,94,37.423438,-122.168317
30,BBQ 101,"459 LAGUNITA AV,STANFORD, CA 94305",Pass,97,37.423438,-122.168317
31,ST-TREEHOUSE RESTAURANT,"520 LAGUNITA DR ,STANFORD, CA 94305",Pass,85,37.423204,-122.17277
32,JAMBA JUICE #61,"520 LAGUNITA DR 11,STANFORD, CA 94305",Pass,89,37.423204,-122.17277
33,THE GSB COMMON,"680 SERRA ST,STANFORD, CA 94305",Pass,97,37.4267,-122.162048
34,ST-HILLEL @ STANFORD - KORET PAVILL,"564 LANE A ,STANFORD, CA 94305",Pass,94,37.421964,-122.167923
35,ST-GROVE HOUSE,"584 MAYFIELD AV ,STANFORD, CA 94305",Pass,95,37.420431,-122.168074
36,ST-KAIROS HOUSE,"586 MAYFIELD AV ,STANFORD, CA 94305",Pass,98,37.420187,-122.167652
37,ST-DELTA DELTA DELTA,"702 BOWDOIN DR ,STANFORD, CA 94306",Pass,95,37.421928,-122.161408
38,ST-PHI SIGMA HOUSE,"1018 CAMPUS DR,STANFORD, CA 94305",Pass,96,37.420515,-122.168937
39,"ST-ROBERT S MOORE HOUSE SOUTH ""BOB""","566 MAYFIELD AV ,STANFORD, CA 94305",Pass,92,37.421378,-122.168815
40,ST-PHI KAPPA PSI,"592 MAYFIELD AV ,STANFORD, CA 94305",Pass,96,37.419966,-122.167334
41,STANFORD FACULTY CLUB,"439 LAGUNITA AV,STANFORD, CA 94305",Pass,92,37.42514,-122.171117
42,ST-AMERICAN STUDIES (MURRAY),"566 GOVERNOR'S AV ,STANFORD, CA 94305",Pass,98,37.425472,-122.184351
43,ST-FLORENCE MOORE HALL,"436 MAYFIELD AV ,STANFORD, CA 94305",Pass,97,37.422132,-122.172128
44,ST-CPK S-128,"450 SERRA MALL,STANFORD, CA 94305",Pass,90,37.427478,-122.170321
45,STANFORD FRENCH HOUSE,"610 MAYFIELD AV ,STANFORD, CA 94305",Pass,94,37.419607,-122.166892
46,ST-SCHWAB RESIDENTIAL CENTER-GSB,"680 SERRA ST ,STANFORD, CA 94305",Pass,92,37.4267,-122.162048
